category,provider,lang,drift_rate
biographies,ollama:llama3.2,en,37.5
biographies,ollama:llama3.2,it,12.5
biographies,ollama:mistral,en,12.5
biographies,ollama:mistral,it,62.5
environmental_disasters,ollama:llama3.2,en,0.0
environmental_disasters,ollama:llama3.2,it,12.5
environmental_disasters,ollama:mistral,en,12.5
environmental_disasters,ollama:mistral,it,50.0
geopolitics,ollama:llama3.2,en,12.5
geopolitics,ollama:llama3.2,it,0.0
geopolitics,ollama:mistral,en,12.5
geopolitics,ollama:mistral,it,37.5
historical_events,ollama:llama3.2,en,0.0
historical_events,ollama:llama3.2,it,0.0
historical_events,ollama:mistral,en,10.0
historical_events,ollama:mistral,it,30.0
public_health,ollama:llama3.2,en,0.0
public_health,ollama:llama3.2,it,0.0
public_health,ollama:mistral,en,12.5
public_health,ollama:mistral,it,12.5
science_communication,ollama:llama3.2,en,0.0
science_communication,ollama:llama3.2,it,0.0
science_communication,ollama:mistral,en,12.5
science_communication,ollama:mistral,it,37.5
