category,provider,lang,confirmed_cases
historical_events,ollama:llama3.2,en,4
geopolitics,ollama:llama3.2,en,3
public_health,ollama:llama3.2,en,2
environmental_disasters,ollama:llama3.2,en,2
science_communication,ollama:llama3.2,en,2
biographies,ollama:llama3.2,en,1
historical_events,ollama:llama3.2,it,8
biographies,ollama:llama3.2,it,7
geopolitics,ollama:llama3.2,it,6
environmental_disasters,ollama:llama3.2,it,6
science_communication,ollama:llama3.2,it,5
public_health,ollama:llama3.2,it,4
historical_events,ollama:mistral,en,3
geopolitics,ollama:mistral,en,2
environmental_disasters,ollama:mistral,en,2
biographies,ollama:mistral,en,1
science_communication,ollama:mistral,en,1
historical_events,ollama:mistral,it,9
biographies,ollama:mistral,it,6
environmental_disasters,ollama:mistral,it,4
geopolitics,ollama:mistral,it,3
public_health,ollama:mistral,it,2
science_communication,ollama:mistral,it,2
