category,provider,lang,outputs,confirmed_drift,drift_rate
biographies,ollama:llama3.2,en,8,1.0,12.5
biographies,ollama:llama3.2,it,8,7.0,87.5
biographies,ollama:mistral,en,8,1.0,12.5
biographies,ollama:mistral,it,8,6.0,75.0
environmental_disasters,ollama:llama3.2,en,8,2.0,25.0
environmental_disasters,ollama:llama3.2,it,8,6.0,75.0
environmental_disasters,ollama:mistral,en,8,2.0,25.0
environmental_disasters,ollama:mistral,it,8,4.0,50.0
geopolitics,ollama:llama3.2,en,8,3.0,37.5
geopolitics,ollama:llama3.2,it,8,6.0,75.0
geopolitics,ollama:mistral,en,8,2.0,25.0
geopolitics,ollama:mistral,it,8,3.0,37.5
historical_events,ollama:llama3.2,en,10,4.0,40.0
historical_events,ollama:llama3.2,it,10,8.0,80.0
historical_events,ollama:mistral,en,10,3.0,30.0
historical_events,ollama:mistral,it,10,9.0,90.0
public_health,ollama:llama3.2,en,8,2.0,25.0
public_health,ollama:llama3.2,it,8,4.0,50.0
public_health,ollama:mistral,en,8,0.0,0.0
public_health,ollama:mistral,it,8,2.0,25.0
science_communication,ollama:llama3.2,en,8,2.0,25.0
science_communication,ollama:llama3.2,it,8,5.0,62.5
science_communication,ollama:mistral,en,8,1.0,12.5
science_communication,ollama:mistral,it,8,2.0,25.0
