category,provider,lang,avg_chars
biographies,ollama:llama3.2,en,790.4
biographies,ollama:llama3.2,it,815.8
biographies,ollama:mistral,en,670.3
biographies,ollama:mistral,it,578.3
environmental_disasters,ollama:llama3.2,en,727.8
environmental_disasters,ollama:llama3.2,it,710.9
environmental_disasters,ollama:mistral,en,760.4
environmental_disasters,ollama:mistral,it,682.5
geopolitics,ollama:llama3.2,en,723.1
geopolitics,ollama:llama3.2,it,793.3
geopolitics,ollama:mistral,en,722.8
geopolitics,ollama:mistral,it,693.4
historical_events,ollama:llama3.2,en,772.1
historical_events,ollama:llama3.2,it,747.4
historical_events,ollama:mistral,en,719.8
historical_events,ollama:mistral,it,687.3
public_health,ollama:llama3.2,en,711.8
public_health,ollama:llama3.2,it,726.8
public_health,ollama:mistral,en,653.6
public_health,ollama:mistral,it,680.1
science_communication,ollama:llama3.2,en,733.6
science_communication,ollama:llama3.2,it,763.4
science_communication,ollama:mistral,en,651.6
science_communication,ollama:mistral,it,555.8
